target_letter,nt_letter1,nt_letter2,nt_letter3,target_location,nt_location1,nt_location2,nt_location3,cue_type,cue_location,cue_color,corrAns
K,K,P,F,"[-.3, 0]","[0, -.3]","[0, .3]","[.3, 0]",valid,"[-.3, 0]",black,k
P,K,P,F,"[.3, 0]","[-.3, 0]","[0, .3]","[0, -.3]",valid,"[.3, 0]",black,p
F,K,P,F,"[0, .3]","[0, -.3]","[-.3, 0]","[.3, 0]",none,"[.3, 0]",white,f
NA,K,P,F,"[-.3, 0]","[.3, 0]","[0, -.3]","[0, .3]",valid,"[-.3, 0]",black,NA
NA,K,P,F,"[-.3, 0]","[0, -.3]","[.3, 0]","[0, .3]",valid,"[-.3, 0]",black,NA
NA,K,P,F,"[0, -.3]","[.3, 0]","[-.3, 0]","[0, .3]",valid,"[0, -.3]",black,NA
NA,K,P,F,"[0, .3]","[0, -.3]","[.3, 0]","[-.3, 0]",valid,"[0, .3]",black,NA
NA,K,P,F,"[0, -.3]","[-.3, 0]","[0, .3]","[.3, 0]",invalid,"[0, .3]",black,NA
NA,K,P,F,"[0, -.3]","[.3, 0]","[0, .3]","[-.3, 0]",valid,"[0, -.3]",black,NA
NA,K,P,F,"[0, -.3]","[-.3, 0]","[.3, 0]","[0, .3]",invalid,"[0, .3]",black,NA
NA,K,P,F,"[0, -.3]","[.3, 0]","[-.3, 0]","[0, .3]",valid,"[0, -.3]",black,NA
NA,K,P,F,"[-.3, 0]","[0, -.3]","[0, .3]","[.3, 0]",valid,"[-.3, 0]",black,NA
NA,K,P,F,"[.3, 0]","[0, -.3]","[-.3, 0]","[0, .3]",invalid,"[0, .3]",black,NA
NA,K,P,F,"[.3, 0]","[0, .3]","[0, -.3]","[-.3, 0]",valid,"[.3, 0]",black,NA
NA,K,P,F,"[0, -.3]","[.3, 0]","[0, .3]","[-.3, 0]",valid,"[0, -.3]",black,NA
NA,K,P,F,"[-.3, 0]","[.3, 0]","[0, .3]","[0, -.3]",valid,"[-.3, 0]",black,NA
NA,K,P,F,"[.3, 0]","[-.3, 0]","[0, -.3]","[0, .3]",none,"[-.3, 0]",white,NA
NA,K,P,F,"[-.3, 0]","[0, .3]","[0, -.3]","[.3, 0]",none,"[0, -.3]",white,NA
NA,K,P,F,"[0, .3]","[.3, 0]","[0, -.3]","[-.3, 0]",valid,"[0, .3]",black,NA
NA,K,P,F,"[-.3, 0]","[0, -.3]","[.3, 0]","[0, .3]",valid,"[-.3, 0]",black,NA
